,First name,Last name,Research Area
0,Pat,(Antonio) Rubio Goldsmith,"('Emigration and immigration, ', 'Segregation in education, ', 'Hispanic Americans, ', 'Human Resource Development and African Americans, ', 'Education, ', 'Race relations')"
1,Ahmed,Abdala,"('Polymeric composites, ', 'Nanostructured materials, ', 'Nanocomposites (Materials), ', 'Membranes (Technology), ', 'Heterogeneous catalysis, ', 'Protective coatings')"
2,Ahmed,Abdel-Wahab,"('Water, ', 'Electrocatalysis')"
3,Leslie,Adams,"('Communicable diseases, ', 'molecular pathogenesis')"
4,Fadhil,Al-Aboosi,"('Interdisciplinary research, ', 'Heat--Transmission, ', 'Sustainable development, ', 'Energy conservation, ', 'Mathematical optimization, ', 'Renewable energy sources, ', 'Shale gas industry, ', 'Fluid dynamics, ', 'Chemical processes--Computer simulation, ', 'Solar energy, ', 'Water treatment plants')"
5,Dhabia,Al-Mohannadi,"('Chemical engineering',)"
6,Ma'moun,Al-Rawashdeh,"('Chemical reactors, ', 'Chemical reactions, ', 'Heterogeneous catalysis, ', 'Chemical processes, ', 'Chemical engineering')"
7,Olufemi,Alabi,"('Plant viruses',)"
8,Srinivasulu,Ale,"('Irrigation--Management, ', 'Hydrologic models, ', 'Soil conservation, ', 'Decision support systems, ', 'Climatic change, ', 'Climatic changes, Climate Dynamics and Prediction, ', 'Climatic changes, ', 'Crops--Growth--Mathematical models, ', 'Ecosystem services, ', 'Water quality, ', 'Climate change mitigation')"
9,Lisa,Alexander,"('Community development, Urban--Law and legislation, ', 'Commercial law, ', 'Local government--Law and legislation')"
10,Ahmed K.,Ali,"('Sustainable buildings--Design and construction, ', 'Manufacturing industries, ', 'United States. Environmental Protection Agency. Office of Solid Waste and Emergency Response, ', 'Waste products, ', 'Architecture')"
11,Hamed,Ali,"('Protein-tyrosine kinase--Inhibitors, ', 'Pharmaceutical chemistry, ', 'Drugs--Design, ', 'Computer-aided design, ', 'Cancer')"
12,Cynthia,Alkon,"('Criminal procedure, ', 'Plea bargaining, ', 'Rule of law, ', 'Mental health laws, ', 'Dispute resolution (Law)')"
13,Patricia,Alonso Ruiz,"('Fractals, ', 'Stochastic processes, ', 'Heat equation, ', 'Schrödinger equation, ', 'Limit theorems (Probability theory), ', 'Dirichlet forms')"
14,Fatima,Alshbool,"('Electronic cigarettes, ', 'Cardiovascular system--Diseases, ', 'Thrombosis, ', 'Blood platelets, ', 'Hookahs')"
15,Izzat,Alsmadi,"('Software engineering, ', 'Computer security, ', 'Social sciences--Data processing')"
16,Stephen,Alton,"('Law--Study and teaching, ', 'Wills, ', 'Property')"
17,Jorge,Alvarado,"('Vortex generators, ', 'Thermography (Copying process), ', 'Nusselt number')"
18,Ernesto,Amaral,"('Migration, Internal, ', 'Emigration and immigration, ', 'Demography')"
19,Hubert,Amrein,"('Metabolism, ', 'Molecular genetics, ', 'Molecular biology, ', 'Neurosciences')"
20,Jay,Angerer,"('Biological models--Computer simulation, ', 'Range management, ', 'Decision support systems--Research, ', 'Drought management')"
21,Saira,Anwar,"('Educational technology--Design, ', 'Educational technology, ', 'Human-computer interaction')"
22,Anna,Armitage,"('Wetlands, ', 'Climatic change, ', 'Climatic changes, Climate Dynamics and Prediction, ', 'Climatic changes, ', 'Food chains (Ecology), ', 'Restoration ecology')"
23,Raymundo,Arroyave,"('Artificial intelligence, ', 'Mathematical optimization, ', 'Computer simulation, ', 'Materials science')"
24,Giridhar,Athrey,"('Evolution (Biology), ', 'Ornithology, ', 'Birds, ', 'Bioinformatics, ', 'Genomics, ', 'Zoonoses, ', 'Poultry')"
25,Brent,Auvermann,"('Beef cattle, ', 'Drug resistance in microorganisms, ', 'Dairy cattle, ', 'Manures, ', 'Dust, ', 'Air quality, ', 'Feedlots, ', 'Livestock')"
26,Reza,Avazmohammadi,"('Computational biology, ', 'Cardiovascular system, ', 'Biomechanics')"
27,Susan,Ayres,"('Domestic relations, ', 'Criminal law')"
28,Courtney,Baetge,"('Teaching, ', 'Veterinarians, ', 'Veterinary medicine, ', 'Anesthesia, ', 'Analgesia')"
29,Matt,Baker,"('Creative thinking--Study and teaching, ', 'Metacognitive therapy, ', 'Consumers--Decision making, ', 'Critical thinking')"
30,Shadi,Balawi,"('Structural analysis (Engineering)',)"
31,James,Ball III,"('Spectators, ', 'Diplomacy, ', 'Performance, ', 'Theater, ', 'Law')"
32,Robert,Balog,"('Power electronics, ', 'Photovoltaic power generation, ', 'Renewable energy sources, ', 'Electric power systems, ', 'Microgrids (Smart power grids)')"
33,Amarnath,Banerjee,"('Simulation methods, ', 'CAD/CAM systems, ', 'Computer simulation, ', 'Modeling')"
34,Bjorn,Bangstein,"('Career development, ', 'Problem-based learning, ', 'Active learning, ', 'Engineers--Professional ethics, ', 'Project management--Evaluation, ', 'Engineering--Study and teaching, ', 'National Society of Professional Engineers. Task Force on Political Involvement in Awarding Engineering Contracts')"
35,Sakhila,Banu,"('Apoptosis, ', 'Placenta, ', 'Oxidative stress, ', 'Heavy metals--Toxicology, ', 'Antioxidants--Toxicology, ', 'Ovaries')"
36,David,Bapst,"('Paleontology, ', 'Evolution (Biology), ', 'Phylogeny, ', 'Macroevolution, ', 'Paleobiology, ', 'Paleobiology--Statistical methods')"
37,Peregrine,Barboza,"('Environmental policy, ', 'Wildlife conservation')"
38,Daniel,Bare,"('History--Religious aspects--Christianity, ', 'Church history, ', 'History')"
39,Wayne,Barnes,"('Electronic contracts, ', 'Collection laws, ', 'Bankruptcy, ', 'Deceptive advertising--Law and legislation, ', 'Fair Debt Collection Practices Act (United States)')"
40,Adam,Barry,"('Drinking of alcoholic beverages, ', 'Bars (Drinking establishments), ', 'Alcohol, ', 'Alcoholism')"
41,Cecily,Becker,"('Internship programs, ', 'Law--Study and teaching (Internship)')"
42,Christina,Belanger,"('Micropaleontology, ', 'Invertebrates, Fossil, ', 'Paleoecology, ', 'Paleoclimatology, ', 'Multivariate analysis')"
43,Jourdan,Bell,"('Irrigation, ', 'Cotton, ', 'Sorghum, ', 'Forage, ', 'Wheat')"
44,Liliana,Beltran,"('Daylight--Measurement, ', 'Daylighting--Simulation methods, ', 'Sustainable architecture')"
45,Alexey,Belyanin,"('Nonlinear optics, ', 'Semiconductors, ', 'Quantum optics, ', 'Optoelectronic devices, ', 'Nanotechnology')"
46,Steven,Bender,"('Orofacial pain, ', 'Sleep disorders, ', 'Trigeminal neuralgia, ', 'Neuralgia, Facial, ', 'Temporomandibular joint--Diseases')"
47,Regina,Bentley,"('Service learning, ', 'Interprofessional education')"
48,Amine,Benzerga,"('Structural dynamics, ', 'Nanostructured materials, ', 'Polymers, ', 'Plasticity, ', 'Metals--Fracture, ', 'Magnesium alloys, ', 'Nonlinear theories, ', 'Mechanics')"
49,Luc,Berghman,"('Endocrinology, ', 'Neuroendocrinology, ', 'Poultry--Diseases, ', 'Monoclonal antibodies, ', 'Immunoassay, ', 'Immunology, ', 'Vaccines')"
50,Leonard,Berry,"('Medical care, ', 'Marketing, ', 'Relationship marketing')"
51,Muna,Bhattarai,"('Positive psychology, ', 'Mental health, ', 'People with disabilities, ', 'Well-being, ', 'Resilience (Personality trait), ', 'Mindfulness (Psychology)')"
52,Susanneh,Bieber,"('History in art, ', 'Architecture, Modern, ', 'Art, Modern, ', 'Feminism and art')"
53,Jane,Bolin,"('Breast--Cancer, ', 'Chronic diseases, ', 'Cervix uteri--Cancer, ', 'Colon (Anatomy)--Cancer, ', 'Diabetes')"
54,Iman,Borazjani,"('Fluid-structure interaction, ', 'Computational fluid dynamics, ', 'Fluid dynamics--Mathematical models, ', 'Fluid dynamics, ', 'High performance computing, ', 'Fluid mechanics')"
55,Alejandro,Borges,"('Art, ', 'Industrial design, ', 'Architecture, ', 'City planning')"
56,Thomas,Boutton,"('Nitrogen cycle, ', 'Phosphorus cycle (Biogeochemistry), ', 'Grassland ecology, ', 'Forest ecology, ', 'Land Use and Cover Change, ', 'Savanna ecology, ', 'Carbon cycle (Biogeochemistry), ', 'Biogeochemistry, ', 'Stable isotopes in ecological research')"
57,Lisa,Bowman-Perrott,"('Meta-analysis, ', 'Second language pedagogy, ', 'Second language acquisition, ', 'Behavior disorders in children, ', 'Special Education Programs (U.S.). Technical Assistance Center on Positive Behavioral Interventions & Supports, ', 'Behavior disorders in adolescence')"
58,Barry,Boyd,"('Teaching, ', 'Learning, Psychology of, ', 'Critical thinking')"
59,Ulisses,Braga Neto,"('Signal processing, ', 'Pattern recognition systems, ', 'Machine learning')"
60,Sandra,Braman,"('Information policy, ', 'Communication, ', 'Law')"
61,Gary,Briers,"('Agricultural education, ', 'Agricultural development projects, ', 'Rural youth--Education, ', 'Education, Rural, ', 'Agricultural development projects--International cooperation')"
62,Leonard,Bright,"('Organizational sociology, ', 'Employee motivation, ', 'Organizational behavior, ', 'Public administration')"
63,Donald,Brightsmith,"('Animal welfare, ', 'Rain forest ecology, ', 'Parrots, ', 'Wildlife conservation')"
64,Alan,Brill,"('Computer crimes, ', 'Computer security, ', 'Evidence, Expert')"
65,Randy,Brooks,"('Web-based instruction, ', 'Engineering--Education, ', 'Intelligent tutoring systems')"
66,Sean,Buckner,"('Digital libraries, ', 'Digital preservation, ', 'Diversity in the workplace')"
67,Christine,Budke,"('Public health, ', 'Public health disparities, ', 'Helminths, ', 'Epidemiology, ', 'Zoonoses')"
68,James,Burdine,"('Community development, ', 'Health status indicators, ', 'Public health, ', 'Public health disparities, ', 'Community health services')"
