First name,Last name,Preferred title,Overview,Position,Department,Individual
Pat,(Antonio) Rubio Goldsmith,Professor and Interim Head,"I study Latinx, race, education, school/neighborhood segregation, immigration and state violence. I have published research in some of the top journals in sociology and education, including Sociology of Education, Social Forces, Social Problems and the American Educational Research Journal. I am currently studying how well the spatial assimilation theory accounts for the residential attainment of young Latinx; how the immigration status of Mexican immigrant parents affects their children's educational attainment, and how theories of racialization and assimilation account for variation in Latinx achievement in new and traditional destinations.",Associate Professor,Sociology,https://scholars.library.tamu.edu/vivo/display/n7324fcbe
Artem,Abanov,Associate Professor,,Associate Professor,Physics and Astronomy,https://scholars.library.tamu.edu/vivo/display/nc5067120
Naqaa,Abbas,Instructional Assistant Professor,,Instructional Assistant Professor,Texas A&M University at Qatar,https://scholars.library.tamu.edu/vivo/display/n9bdbb604
James,Abbey,Bob '85 and Kelly Jordan '86 Professorship in Business,"My research focuses on consumer perceptions and reactions toward multiple lifecycle products, designing products for multiple lifecycles, and remanufacturing processes. In addition, I continue to work in the domain of healthcare supply chains with a particular focus on reimbursement systems and processes.",Faculty Fellow||Associate Professor,Center for Health Systems and Design||Information and Operations Management,https://scholars.library.tamu.edu/vivo/display/nbf813378
Elton,Abbott,Associate Professor of the Practice,,Associate Professor of the Practice||Faculty Fellow,Center for Health Systems and Design||Architecture,https://scholars.library.tamu.edu/vivo/display/nf9cb5cd2
Je'anna,Abbott,Visiting Professor,,Visiting Professor,Mays Business School,https://scholars.library.tamu.edu/vivo/display/n33499eea
Louise,Abbott,Professor,,Professor,Veterinary Integrative Biosciences,https://scholars.library.tamu.edu/vivo/display/nf56a7148
Ahmed,Abdala,Professor,"Professor Abdala research focuses on development of advanced materials for energy and environmental applications based on polymers and nanomaterials, including polymer nanocomposites, functionalized graphene materials, anticorrosion coatings, polymeric membranes for gas separation and water treatment, and nanohybirds of metal/metal oxides and 2D carbon nanomaterials for catalysis, adsorption, energy storage,  and thermoelectric materials. In addition, Dr. Abdala has research interests in  applications of polymers and surfactants for EOR.",Faculty Affiliate||Associate Professor,Energy Institute||Chemical Engineering (Qatar),https://scholars.library.tamu.edu/vivo/display/n6cdc74b2
Ahmed,Abdel-Wahab,Professor,"Dr. Abdel-Wahab's primary focus is on chemical and physical processes associated with treatment of water and wastewater and solar-powered photoelectrochemical processes for carobon doixide reduction and contaminants degradation. This work includes discovery and development of new classes of treatment processes. It includes utilization of solar energy for photo-electrochemical conversion of CO2 into useful fuel, inland desalination with zero liquid discharge, reactive adsorption of heavey metas onto iron sulfide nanoparticles, development of innovative extensions of lime softening for removal of a wide range of contaminants from recirculating cooling water and brine concentrate in zero liquid discharge systems, advanced oxidation processes, advanced reduction processes, electrocoagulation; and some of the only research conducted on applying solid solution theory to water and wastewater treatment. He is also involved in developing reactive transport computational tools for environmental impact assessment and for prediction of chemical behavior in aquatic systems.","Technical Director, QWE||Faculty Affiliate||Professor||Professor",Civil Engineering||Texas A&M University at Qatar||Energy Institute||Chemical Engineering (Qatar),https://scholars.library.tamu.edu/vivo/display/n96a2a261
Ahmed,Abdelaal,Instructional Assistant Professor,,Instructional Assistant Professor,Engineering Technology and Industrial Distribution,https://scholars.library.tamu.edu/vivo/display/nf5516b47
Sara,Abedi Mashhadimighani,Assistant Professor,Professor Abedi's research centers on experimental and theoretical microporomechanics; nano-chemomechanics of geomaterials; multi-scale modeling; granular material failure and flow and granular physics; and geomechanics.,Assistant Professor||Faculty Affiliate,Energy Institute||Petroleum Engineering,https://scholars.library.tamu.edu/vivo/display/n804219f9
Richard,Abel,Lecturer,,Lecturer,International Affairs,https://scholars.library.tamu.edu/vivo/display/nedcc7318
Francisco,Abello,Assistant Professor and Extension Specialist,,Assistant Professor||Assistant Professor and Extension Specialist,Vernon Research and Extension Center||Agricultural Economics,https://scholars.library.tamu.edu/vivo/display/n8af6a455
Celeste,Abraham,Clinical Associate Professor,,Clinical Associate Professor,Periodontics,https://scholars.library.tamu.edu/vivo/display/n3621e33a
Asim,Abu Baker,Associate Dean and Professor,,Associate Dean and Professor,Pharmacy Practice,https://scholars.library.tamu.edu/vivo/display/nb419ede3
Haitham,Abu-Rub,Professor,"Haitham Abu-Rub's research contributions, as well as his on-going efforts/investigations in the area of Smart Grid, AC drives, and power electronics, can be classified into the following topics:<br /><br /><br /><br />Control of electric machines; eg. vector control, nonlinear control, adaptive control, model predictive control<br /><br /><br /><br />Power electronic converters, two-level and multilevel, matrix converter, ZSI<br /><br /><br /><br />Artificial Intelligence in machines and power electronics control, eg. fuzzy logic, neural networks<br /><br /><br /><br />Renewable energy conversion for PV and wind systems, maximum power point tracking<br /><br /><br /><br />Condition monitoring and fault detection in electrical machines and drives",Faculty Affiliate||Professor and Program Chair||Managing Director of Smart Grid Center,Texas A&M University at Qatar||Electrical and Computer Engineering (Qatar)||Energy Institute,https://scholars.library.tamu.edu/vivo/display/n1dd27eba
Akram,Abuodeh,TTI Research Scientist,,TTI Research Scientist,Texas A&M Transportation Institute (TTI),https://scholars.library.tamu.edu/vivo/display/n41717f12
Felipe Andres,Aburto Guerrero,Assistant Professor,"In my research, I explore landscape-scale processes, human-soil interactions, and biogeochemical controls on soil mineral weathering, elemental cycling, and soil development. I emphasize pedological mechanisms and soil functions that support vital ecosystem services, including carbon sequestration, nutrient and water cycling, and interactions among soils, microbes, vegetation, and hydrology at different scales.<br /><br />In my research program, I study the underpinning pedological mechanisms that control soil formation, like mineral weathering and secondary mineral formation and biogeochemical supporting processes that define ecosystem productivity and resilience. I believe an enhanced understanding of these mechanisms in natural and managed environments will allow the prediction of temporal, horizontal, and vertical distribution and changes of soil properties and functions and derived services at the landscape scale.<br /><br />In my previous research, I looked at soil development and weathering patterns in different environmental settings using traditional chronosequences and climosequences approaches. I also studied the effect of human disturbances, including agriculture and forest use intensification, grazing, fire, erosion, etc., on intrinsic soil properties linked to soil functions. I also direct and collaborate in applied research projects that look at the rate and state of recovery of inherent soil properties (e.g., mineralogy), microbial and fauna diversity, and C and nutrient cycling after restoration or reforestation with native vegetation.",Assistant Professor,Soil and Crop Sciences,https://scholars.library.tamu.edu/vivo/display/n1e3c38dc
Mohamed,Aburweis,Instructional Assistant Professor,,Instructional Assistant Professor,Statistics,https://scholars.library.tamu.edu/vivo/display/nb96ba156
Carmen,Acero-Schertzer,Instructional Assistant Professor,,Instructional Assistant Professor,Foundational Sciences,https://scholars.library.tamu.edu/vivo/display/n321dd535
Sandra,Acosta,Associate Professor,"I specialize in bilingual education and biliteracy, particularly for Hispanic, emergent bilinguals.  My research also focuses on teacher education, specifically practitioner action research as a tool for mediating pedagogical development and professional identity.",Associate Professor,Educational Psychology,https://scholars.library.tamu.edu/vivo/display/n6e2fe1b4
